order_id,customer_id,order_date,order_status
1,129,2021-04-01 09:12:30.598938,completed
2,120,2021-02-19 04:07:10.644475,pending
3,12,2021-07-26 05:32:57.138443,completed
4,60,2021-12-15 17:48:13.658534,completed
5,125,2021-08-08 15:40:35.385305,completed
6,51,2021-05-14 15:16:30.569900,completed
7,114,2021-03-04 17:05:53.204208,completed
8,107,2021-01-09 01:04:41.351170,completed
9,102,2021-03-26 19:10:21.118322,completed
10,122,2021-09-04 20:12:44.361331,completed
11,146,2021-02-03 11:07:38.444416,completed
12,138,2021-12-06 17:46:59.309120,pending
13,22,2021-11-17 01:19:39.903991,completed
14,156,2021-03-08 12:22:07.945959,completed
15,1,2021-02-14 17:24:26.882877,completed
16,12,2021-06-13 20:46:22.164607,completed
17,23,2021-12-03 01:49:21.283059,completed
18,120,2021-01-27 04:52:45.144588,completed
19,85,2021-07-13 13:24:35.529223,completed
20,13,2021-10-01 19:32:56.094030,completed
21,117,2021-05-12 23:20:52.661449,completed
22,5,2021-08-30 22:13:22.615778,completed
23,1,2021-10-21 08:12:44.149028,completed
24,135,2021-07-10 06:22:04.322784,completed
25,149,2021-04-01 11:30:54.769800,completed
26,4,2021-08-07 00:35:54.199222,completed
27,142,2021-01-27 09:47:06.845882,completed
28,4,2021-12-23 02:43:11.652017,completed
29,74,2021-10-31 21:14:56.400403,completed
30,98,2021-10-16 11:57:09.162778,completed
31,2,2021-08-31 17:11:59.746934,completed
32,7,2021-10-02 07:48:56.819604,completed
33,79,2021-06-22 23:06:56.539095,completed
34,5,2021-02-11 02:20:04.546212,pending
35,3,2021-11-03 17:00:29.509786,pending
36,61,2021-07-03 03:31:17.844999,completed
37,2,2021-10-09 12:18:33.795858,completed
38,107,2021-05-25 16:26:41.591640,completed
39,63,2021-02-21 10:30:58.518715,completed
40,87,2021-12-06 07:46:50.158539,completed
41,13,2021-12-13 04:33:33.461124,completed
42,65,2021-06-06 23:51:25.816343,completed
43,127,2021-08-16 13:45:18.635544,completed
